,id
0,34502
1,34502
2,34502
3,34502
4,46412
5,46412
6,46412
7,46412
8,2843
9,2843
10,2843
11,2843
12,2843
13,2843
14,2843
15,2843
16,2843
17,2843
18,2843
19,34098
20,34098
21,34098
22,46902
23,46902
24,46902
25,46902
26,46902
27,46902
28,46902
29,46902
30,46902
31,46902
32,46902
33,46902
34,46902
35,46902
36,46902
37,46902
38,4638
39,4638
40,4638
41,4638
42,1398
43,1398
44,1398
45,1398
46,1398
47,1398
48,1398
49,1398
50,1398
51,30698
52,30698
53,30698
54,30698
55,30698
56,30698
57,9483
58,9483
59,9483
60,9483
61,9483
62,9483
63,9483
64,9483
65,9483
66,9483
67,9483
68,16689
69,16689
70,16689
71,16689
72,16689
73,16689
74,16689
75,16689
76,16689
77,16689
78,16689
79,16689
80,26496
81,26496
82,26496
83,33671
84,33671
85,33671
86,33671
87,33671
88,33671
89,33671
90,33671
91,33671
92,33671
93,49807
94,49807
95,49807
96,49807
97,49807
98,49807
99,49807
100,49807
101,49807
102,29074
103,29074
104,29074
105,29074
106,29074
107,16092
108,16092
109,16092
110,16092
111,16092
112,16092
113,16092
114,16092
115,38924
116,38924
117,38924
118,38924
119,38924
120,38924
121,38924
122,38924
123,38924
124,38924
125,38924
126,38924
127,38924
128,38924
129,38924
130,38924
131,38924
132,38924
133,30628
134,30628
135,30628
136,42293
137,42293
138,42293
139,42293
140,42293
141,42293
142,42293
143,42293
144,42293
145,42293
146,42293
147,42293
148,18300
149,18300
150,18300
151,18300
152,18300
153,18300
154,18300
155,18300
156,18300
157,18300
158,18300
159,18300
160,18300
161,8225
162,8225
163,8225
164,8225
165,8225
166,48541
167,48541
168,48541
169,48541
170,48541
171,48541
172,48541
173,48541
174,48541
175,48541
176,48541
177,48541
178,48541
179,48541
180,48541
181,48541
182,48541
183,48541
184,48541
185,48541
186,48541
187,48541
188,40295
189,40295
190,40295
191,40295
192,40295
193,40295
194,40295
195,40295
196,40295
197,40295
198,40295
199,40295
200,40295
201,40295
202,47998
203,47998
204,47998
205,47998
206,47998
207,47998
208,47998
209,47998
210,47998
211,47998
212,47998
213,45145
214,45145
215,45145
216,45145
217,45145
218,45145
219,45145
220,17145
221,17145
222,17145
223,17145
224,17145
225,17145
226,17145
227,1938
228,1938
229,1938
230,1938
231,1938
232,1938
233,1938
234,1938
235,1938
236,1938
237,49965
238,49965
239,49965
240,38435
241,38435
242,38435
243,38435
244,38435
245,38435
246,38435
247,38435
248,38435
249,23801
250,23801
251,23801
252,23801
253,23801
254,23801
255,23801
256,23801
257,23801
258,23801
259,23801
260,23801
261,23801
262,23801
263,23801
264,23801
265,23801
266,23801
267,23801
268,23801
269,23801
270,23801
271,23801
272,23801
273,23801
274,23801
275,23801
276,23801
277,23801
278,23801
279,23801
280,23801
281,8246
282,8246
283,8246
284,8246
285,8246
286,8246
287,25916
288,25916
289,25916
290,25916
291,25916
292,9353
293,9353
294,9353
295,9353
296,9353
297,9353
298,9353
299,49489
300,49489
301,49489
302,49489
303,49489
304,49489
305,49489
306,49731
307,49731
308,49731
309,49731
310,49731
311,49731
312,49731
313,265
314,265
315,265
316,265
317,265
318,265
319,265
320,265
321,265
322,265
323,265
324,265
325,265
326,265
327,265
328,265
329,265
330,15284
331,15284
332,15284
333,15284
334,15284
335,15284
336,15284
337,15284
338,42712
339,42712
340,42712
341,42712
342,39452
343,39452
344,39452
345,39452
346,39452
347,39452
348,39452
349,28485
350,28485
351,28485
352,28485
353,28485
354,12734
355,12734
356,12734
357,12734
358,12734
359,12734
360,33362
361,33362
362,33362
363,33362
364,33362
365,33362
366,33362
367,33362
368,33362
369,33362
370,33362
371,34045
372,34045
373,34045
374,34045
375,34045
376,34045
377,34045
378,34045
379,34045
380,6633
381,6633
382,6633
383,6633
384,6633
385,6633
386,6633
387,78
388,78
389,78
390,78
391,78
392,27317
393,27317
394,27317
395,27317
